film,speaker,word_count_corrected,speaker_gender,other_characters_wc
BUGONIA,MICHELLE,3516,FEMALE,5558
BUGONIA,TEDDY,3709,MALE,5365
F-ONE,SONNY,2485,MALE,11106
FRANKENSTEIN,VICTOR,3377,MALE,4912
HAMNET,AGNES,2230,FEMALE,4827
MARTY SUPREME,MARTY,8884,MALE,10272
ONE BATTLE AFTER ANOTHER,BOB,3453,MALE,8993
SENTIMENTAL VALUE,NORA,1302,FEMALE,5594
SINNERS,SMOKE,1869,MALE,9865
SINNERS,STACK,1671,MALE,10063
THE SECRET AGENT,MARCELO,1785,MALE,7709
TRAIN DREAMS,GRAINIER,1395,MALE,4576
