film,speaker_gender,dialogue,word_count_corrected,director,director_gender,speaker_role
THE SECRET AGENT,MALE,RIVANILDO CALLED THE OWNERS.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I DID TOO.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,NO ANSWER.,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,RIVANILDO RAN AWAY,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,TO NOT BE CAUGHT RED-HANDED.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,WENT TO A CARNIVAL PARTY.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,AND I'M HERE WITH THIS MESS.,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,OPEN THE HOOD.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"IF I GO AWAY,",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I'LL LOSE MY JOB.,4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"IF I STAY HERE,",4,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I'M STUCK WITH ROTTING MEAT.,5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,I'M ALMOST GETTING USED TO THIS SHIT.,7,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,HOW MUCH?,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"STOP AT 120, PLEASE.",4,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,RIGHT.,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,YOU DIDN'T CALL THE COPS?,5,KLEBER MENDONCA FILHO,MALE,LEAD
THE SECRET AGENT,MALE,OH THE COPS...,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"WE DID, THEY SAID THEY'D COME",6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BY ASH WEDNESDAY,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BECAUSE IT'S TOO BUSY IN CARNIVAL.,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,NO SIGN OF THEM SO FAR.,6,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,IT'S NOW TUESDAY.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,STARTED STINKING YESTERDAY.,3,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,"OH, LOOK AT THOSE DOGS.",5,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,HEY DOGS!,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,BEAT IT!,2,KLEBER MENDONCA FILHO,MALE,SECONDARY
THE SECRET AGENT,MALE,SCRAM!,1,KLEBER MENDONCA FILHO,MALE,SECONDARY
