film,speaker_gender,dialogue,word_count_corrected,director,director_gender,speaker_role
WICKED,MALE,"GLINDA, EXACTLY HOW DEAD IS SHE?",6,JON M. CHU,MALE,SECONDARY
WICKED,FEMALE,"BECAUSE THERE HAS BEEN SO MUCH RUMOR AND SPECULATION… LET ME TELL YOU THE WHOLE STORY. ACCORDING TO THE TIME DRAGON CLOCK, THE MELTING OCCURRED AT THE 13TH HOUR. THE DIRECT RESULT OF A BUCKET OF WATER THROWN BY A FEMALE CHILD. YES, THE WICKED WITCH OF THE WEST IS DEAD!",51,JON M. CHU,MALE,SECONDARY
WICKED,MALE,GOOD NEWS! THE WITCH! SHE’S DEAD!,6,JON M. CHU,MALE,SECONDARY
WICKED,MALE,COME OUT! COME OUT! SHE’S GONE!,6,JON M. CHU,MALE,SECONDARY
WICKED,FEMALE,"MUNCHKINS, SHE’S DEAD!",3,JON M. CHU,MALE,SECONDARY
WICKED,MALE,GOOD NEWS!,2,JON M. CHU,MALE,SECONDARY
WICKED,MALE,"MUNCHKINS, WAKE UP!",3,JON M. CHU,MALE,SECONDARY
WICKED,FEMALE,COME OUT! COME OUT! SHE’S GONE!,6,JON M. CHU,MALE,SECONDARY
WICKED,MALE,GOOD NEWS! THE WICKED WITCH IS DEAD!,7,JON M. CHU,MALE,SECONDARY
WICKED,MIXED,"GOOD NEWS! SHE’S DEAD! THE WITCH OF THE WEST IS DEAD, THE WICKEDEST WITCH THERE EVER WAS, THE ENEMY OF ALL OF US HERE IN OZ, IS DEAD, GOOD NEWS, GOOD NEWS",32,JON M. CHU,MALE,SECONDARY
WICKED,FEMALE,LET US BE GLAD…,4,JON M. CHU,MALE,SECONDARY
WICKED,MALE,LOOK! IT’S GLINDA!,3,JON M. CHU,MALE,SECONDARY
WICKED,FEMALE,LET US BE GRATEFUL…,4,JON M. CHU,MALE,SECONDARY
